	acc	loss	val_acc	val_loss
0	0.623	0.831	0.209	0.761
1	0.634	0.802	0.572	0.961
2	0.686	0.801	0.664	0.689
3	0.689	0.786	0.748	0.745
4	0.636	0.821	0.471	0.820
