	acc	loss	val_acc	val_loss
0	0.699	0.745	0.068	0.935
1	0.696	0.710	0.053	0.950
2	0.700	0.702	0.048	0.951
3	0.713	0.698	0.296	0.875
4	0.603	0.778	0.260	0.848
